ticker,cik
AMZN,0001018724
BMY,0000014272
CNP,0001130310
CVX,0000093410
FL,0000850209
FRT,0000034903
HON,0000773840
AEP,0000004904
AXP,0000004962
BA,0000012927
BK,0001390777
CAT,0000018230
DE,0000315189
DIS,0001001039
DTE,0000936340
ED,0001047862
EMR,0000032604
ETN,0001551182
GE,0000040545
IBM,0000051143
IP,0000051434
JNJ,0000200406
KO,0000021344
LLY,0000059478
MCD,0000063908
MO,0000764180
MRK,0000310158
MRO,0000101778
PCG,0001004980
PEP,0000077476
PFE,0000078003
PG,0000080424
PNR,0000077360
SYY,0000096021
TXN,0000097476
UTX,0000101829
WFC,0000072971
WMT,0000104169
WY,0000106535
XOM,0000034088